date,type
01/01/1900,0
05/01/1900,4
12/01/1900,4
11/02/1900,0
12/02/1900,0
01/03/1900,0
31/03/1900,0
11/04/1900,0
13/04/1900,0
20/04/1900,0
28/04/1900,0
30/04/1900,0
10/05/1900,2
11/05/1900,0
11/05/1900,5
23/05/1900,0
22/06/1900,0
24/06/1900,0
24/06/1900,0
24/06/1900,0
02/07/1900,0
02/07/1900,0
22/07/1900,0
23/07/1900,2
24/07/1900,0
04/08/1900,0
09/08/1900,0
14/08/1900,0
23/08/1900,0
27/09/1900,0
06/10/1900,0
08/10/1900,0
10/10/1900,1
01/11/1900,0
02/11/1900,0
05/11/1900,0
06/11/1900,0
09/11/1900,0
10/11/1900,0
11/11/1900,0
04/12/1900,2
05/12/1900,0
07/12/1900,0
20/12/1900,2
21/12/1900,2
21/12/1900,0
22/12/1900,2
23/12/1900,2
24/12/1900,2
29/12/1900,2
30/12/1900,0
28/02/1901,0
01/03/1901,0
02/03/1901,0
30/03/1901,0
10/04/1901,0
12/04/1901,0
16/04/1901,0
19/04/1901,0
29/04/1901,0
08/05/1901,2
09/05/1901,5
10/05/1901,0
22/05/1901,0
10/06/1901,5
13/06/1901,5
18/06/1901,5
21/06/1901,0
23/06/1901,0
23/06/1901,0
23/06/1901,0
23/06/1901,5
26/06/1901,5
27/06/1901,5
28/06/1901,5
29/06/1901,5
01/07/1901,0
01/07/1901,0
02/07/1901,5
03/07/1901,5
06/07/1901,5
07/07/1901,5
10/07/1901,5
11/07/1901,5
21/07/1901,0
22/07/1901,2
23/07/1901,0
03/08/1901,0
08/08/1901,0
13/08/1901,0
22/08/1901,0
26/09/1901,0
05/10/1901,0
07/10/1901,0
08/10/1901,1
31/10/1901,0
01/11/1901,0
04/11/1901,0
05/11/1901,0
08/11/1901,0
09/11/1901,0
10/11/1901,0
26/11/1901,5
29/11/1901,5
03/12/1901,2
04/12/1901,0
06/12/1901,0
18/12/1901,4
19/12/1901,2
20/12/1901,0
20/12/1901,2
21/12/1901,2
22/12/1901,2
23/12/1901,3
23/12/1901,2
28/12/1901,2
29/12/1901,0
30/12/1901,3
07/01/1902,4
13/02/1902,0
14/02/1902,0
27/02/1902,0
29/03/1902,0
31/03/1902,0
09/04/1902,0
11/04/1902,0
18/04/1902,0
28/04/1902,0
06/05/1902,2
07/05/1902,5
09/05/1902,0
21/05/1902,0
20/06/1902,0
22/06/1902,0
22/06/1902,0
22/06/1902,0
30/06/1902,0
30/06/1902,0
20/07/1902,0
21/07/1902,0
22/07/1902,0
02/08/1902,0
07/08/1902,0
12/08/1902,0
21/08/1902,0
25/09/1902,0
04/10/1902,0
06/10/1902,0
30/10/1902,0
31/10/1902,0
03/11/1902,0
04/11/1902,0
07/11/1902,0
08/11/1902,0
09/11/1902,0
24/11/1902,5
27/11/1902,5
02/12/1902,2
03/12/1902,0
05/12/1902,0
18/12/1902,2
19/12/1902,2
19/12/1902,0
20/12/1902,2
21/12/1902,2
22/12/1902,2
27/12/1902,2
04/02/1903,0
05/02/1903,0
27/02/1903,0
22/03/1903,0
29/03/1903,0
09/04/1903,0
11/04/1903,0
13/04/1903,5
14/04/1903,5
15/04/1903,5
16/04/1903,5
17/04/1903,5
18/04/1903,0
18/04/1903,5
19/04/1903,5
20/04/1903,5
21/04/1903,5
22/04/1903,5
23/04/1903,5
24/04/1903,5
25/04/1903,5
26/04/1903,5
27/04/1903,5
28/04/1903,0
28/04/1903,5
29/04/1903,5
30/04/1903,5
01/05/1903,5
02/05/1903,5
03/05/1903,5
04/05/1903,2
04/05/1903,5
05/05/1903,5
05/05/1903,5
06/05/1903,5
07/05/1903,5
08/05/1903,5
09/05/1903,0
09/05/1903,5
10/05/1903,5
11/05/1903,5
12/05/1903,5
13/05/1903,5
21/05/1903,0
24/05/1903,1
20/06/1903,0
22/06/1903,0
22/06/1903,0
22/06/1903,0
30/06/1903,0
30/06/1903,0
20/07/1903,0
21/07/1903,2
21/07/1903,1
22/07/1903,0
02/08/1903,0
07/08/1903,0
09/08/1903,1
12/08/1903,0
21/08/1903,0
25/09/1903,0
04/10/1903,0
06/10/1903,0
30/10/1903,0
31/10/1903,0
01/11/1903,3
03/11/1903,0
04/11/1903,0
07/11/1903,0
08/11/1903,0
09/11/1903,0
09/11/1903,4
22/11/1903,5
25/11/1903,5
02/12/1903,2
03/12/1903,0
05/12/1903,0
18/12/1903,2
19/12/1903,2
19/12/1903,0
20/12/1903,2
21/12/1903,2
22/12/1903,2
27/12/1903,2
28/12/1903,0
29/12/1903,1
23/02/1904,0
24/02/1904,0
26/02/1904,0
27/03/1904,0
07/04/1904,0
08/04/1904,1
09/04/1904,0
09/04/1904,0
16/04/1904,0
26/04/1904,0
07/05/1904,0
08/05/1904,2
09/05/1904,5
19/05/1904,0
21/05/1904,1
18/06/1904,0
20/06/1904,0
20/06/1904,0
20/06/1904,0
28/06/1904,0
28/06/1904,0
18/07/1904,0
19/07/1904,2
20/07/1904,2
31/07/1904,0
05/08/1904,0
06/08/1904,1
10/08/1904,0
